student_id,student_name,feedback
1,Student_1,The exams was fine
2,Student_2,The labs was okay
3,Student_3,The exams was good
4,Student_4,The faculty was okay
5,Student_5,The course was average
6,Student_6,The exams was normal
7,Student_7,The assignments was helpful
8,Student_8,The faculty was normal
9,Student_9,The labs was awful
10,Student_10,The assignments was terrible
11,Student_11,The teaching was fine
12,Student_12,The exams was awful
13,Student_13,The labs was poor
14,Student_14,The assignments was helpful
15,Student_15,The exams was great
16,Student_16,The exams was helpful
17,Student_17,The exams was average
18,Student_18,The labs was terrible
19,Student_19,The faculty was okay
20,Student_20,The teaching was okay
21,Student_21,The assignments was poor
22,Student_22,The labs was average
23,Student_23,The teaching was average
24,Student_24,The exams was fine
25,Student_25,The assignments was terrible
26,Student_26,The faculty was bad
27,Student_27,The faculty was bad
28,Student_28,The labs was fine
29,Student_29,The assignments was helpful
30,Student_30,The exams was good
31,Student_31,The course was average
32,Student_32,The faculty was great
33,Student_33,The teaching was helpful
34,Student_34,The faculty was normal
35,Student_35,The faculty was awful
36,Student_36,The faculty was excellent
37,Student_37,The assignments was average
38,Student_38,The labs was average
39,Student_39,The course was fine
40,Student_40,The faculty was normal
41,Student_41,The exams was helpful
42,Student_42,The faculty was difficult
43,Student_43,The teaching was amazing
44,Student_44,The faculty was average
45,Student_45,The course was great
46,Student_46,The assignments was difficult
47,Student_47,The course was difficult
48,Student_48,The faculty was normal
49,Student_49,The teaching was amazing
50,Student_50,The teaching was excellent
51,Student_51,The labs was amazing
52,Student_52,The assignments was great
53,Student_53,The labs was awful
54,Student_54,The faculty was good
55,Student_55,The teaching was excellent
56,Student_56,The course was poor
57,Student_57,The assignments was helpful
58,Student_58,The teaching was difficult
59,Student_59,The assignments was fine
60,Student_60,The teaching was good
61,Student_61,The exams was excellent
62,Student_62,The faculty was good
63,Student_63,The course was normal
64,Student_64,The course was fine
65,Student_65,The labs was amazing
66,Student_66,The labs was average
67,Student_67,The teaching was average
68,Student_68,The exams was amazing
69,Student_69,The exams was bad
70,Student_70,The teaching was excellent
71,Student_71,The course was excellent
72,Student_72,The teaching was terrible
73,Student_73,The course was good
74,Student_74,The labs was amazing
75,Student_75,The labs was amazing
76,Student_76,The faculty was terrible
77,Student_77,The teaching was excellent
78,Student_78,The assignments was fine
79,Student_79,The faculty was poor
80,Student_80,The labs was fine
81,Student_81,The course was amazing
82,Student_82,The exams was difficult
83,Student_83,The exams was awful
84,Student_84,The course was average
85,Student_85,The teaching was bad
86,Student_86,The labs was good
87,Student_87,The faculty was okay
88,Student_88,The labs was difficult
89,Student_89,The faculty was okay
90,Student_90,The course was normal
91,Student_91,The faculty was awful
92,Student_92,The teaching was awful
93,Student_93,The exams was fine
94,Student_94,The teaching was awful
95,Student_95,The assignments was poor
96,Student_96,The assignments was great
97,Student_97,The teaching was difficult
98,Student_98,The faculty was helpful
99,Student_99,The faculty was awful
100,Student_100,The assignments was poor
101,Student_101,The exams was fine
102,Student_102,The exams was difficult
103,Student_103,The assignments was good
104,Student_104,The labs was excellent
105,Student_105,The course was difficult
106,Student_106,The teaching was difficult
107,Student_107,The teaching was amazing
108,Student_108,The exams was good
109,Student_109,The exams was bad
110,Student_110,The course was okay
111,Student_111,The labs was bad
112,Student_112,The assignments was terrible
113,Student_113,The course was fine
114,Student_114,The faculty was difficult
115,Student_115,The labs was average
116,Student_116,The exams was bad
