Student ID,Student Name,Feedback,Score,Sentiment
1,Student_1,It was fine overall,0,Neutral
2,Student_2,It was fine overall,0,Neutral
3,Student_3,It was fine overall,0,Neutral
4,Student_4,I had a terrible experience,-1,Negative
5,Student_5,Nothing special about the sessions,0,Neutral
7,Student_7,The class was normal,0,Neutral
10,Student_10,The teaching was poor and bad,-2,Negative
12,Student_12,The class was normal,0,Neutral
13,Student_13,The class was normal,0,Neutral
14,Student_14,It was fine overall,0,Neutral
17,Student_17,Nothing special about the sessions,0,Neutral
18,Student_18,I hate the scheduling system,-1,Negative
19,Student_19,The course content was awful,-1,Negative
20,Student_20,I hate the scheduling system,-1,Negative
22,Student_22,It was an average experience,0,Neutral
26,Student_26,The class was normal,0,Neutral
27,Student_27,The teaching was poor and bad,-2,Negative
29,Student_29,The course was okay,0,Neutral
30,Student_30,The class was normal,0,Neutral
31,Student_31,The course content was awful,-1,Negative
34,Student_34,The class was normal,0,Neutral
36,Student_36,The teaching was poor and bad,-2,Negative
38,Student_38,I had a terrible experience,-1,Negative
39,Student_39,Bad explanation and poor support,-1,Negative
40,Student_40,Nothing special about the sessions,0,Neutral
42,Student_42,Nothing special about the sessions,0,Neutral
43,Student_43,I had a terrible experience,-1,Negative
44,Student_44,The teaching was poor and bad,-2,Negative
45,Student_45,It was an average experience,0,Neutral
48,Student_48,I had a terrible experience,-1,Negative
49,Student_49,Nothing special about the sessions,0,Neutral
50,Student_50,Bad explanation and poor support,-1,Negative
53,Student_53,Nothing special about the sessions,0,Neutral
54,Student_54,I hate the scheduling system,-1,Negative
55,Student_55,Nothing special about the sessions,0,Neutral
56,Student_56,The class was normal,0,Neutral
58,Student_58,I hate the scheduling system,-1,Negative
59,Student_59,The class was normal,0,Neutral
60,Student_60,The class was normal,0,Neutral
62,Student_62,The teaching was poor and bad,-2,Negative
64,Student_64,I had a terrible experience,-1,Negative
65,Student_65,The class was normal,0,Neutral
66,Student_66,The course content was awful,-1,Negative
67,Student_67,It was fine overall,0,Neutral
70,Student_70,The class was normal,0,Neutral
71,Student_71,I hate the scheduling system,-1,Negative
73,Student_73,It was an average experience,0,Neutral
76,Student_76,The course was okay,0,Neutral
81,Student_81,The course content was awful,-1,Negative
82,Student_82,The course was okay,0,Neutral
83,Student_83,The class was normal,0,Neutral
84,Student_84,It was fine overall,0,Neutral
87,Student_87,The course was okay,0,Neutral
88,Student_88,The class was normal,0,Neutral
90,Student_90,I hate the scheduling system,-1,Negative
91,Student_91,The teaching was poor and bad,-2,Negative
94,Student_94,The teaching was poor and bad,-2,Negative
95,Student_95,It was fine overall,0,Neutral
97,Student_97,It was an average experience,0,Neutral
98,Student_98,The course content was awful,-1,Negative
99,Student_99,Bad explanation and poor support,-1,Negative
100,Student_100,The class was normal,0,Neutral
104,Student_104,I had a terrible experience,-1,Negative
106,Student_106,I hate the scheduling system,-1,Negative
108,Student_108,Nothing special about the sessions,0,Neutral
109,Student_109,It was an average experience,0,Neutral
111,Student_111,It was fine overall,0,Neutral
112,Student_112,I had a terrible experience,-1,Negative
114,Student_114,The teaching was poor and bad,-2,Negative
115,Student_115,I hate the scheduling system,-1,Negative
116,Student_116,It was fine overall,0,Neutral
117,Student_117,It was fine overall,0,Neutral
120,Student_120,It was fine overall,0,Neutral
121,Student_121,The teaching was poor and bad,-2,Negative
123,Student_123,I had a terrible experience,-1,Negative
124,Student_124,I hate the scheduling system,-1,Negative
125,Student_125,The teaching was poor and bad,-2,Negative
126,Student_126,Bad explanation and poor support,-1,Negative
127,Student_127,Nothing special about the sessions,0,Neutral
129,Student_129,I hate the scheduling system,-1,Negative
130,Student_130,The course was okay,0,Neutral
133,Student_133,The course was okay,0,Neutral
134,Student_134,It was an average experience,0,Neutral
135,Student_135,The course was okay,0,Neutral
136,Student_136,I hate the scheduling system,-1,Negative
137,Student_137,I had a terrible experience,-1,Negative
138,Student_138,Nothing special about the sessions,0,Neutral
139,Student_139,Nothing special about the sessions,0,Neutral
140,Student_140,The class was normal,0,Neutral
141,Student_141,I had a terrible experience,-1,Negative
144,Student_144,Bad explanation and poor support,-1,Negative
145,Student_145,I had a terrible experience,-1,Negative
146,Student_146,I had a terrible experience,-1,Negative
147,Student_147,The teaching was poor and bad,-2,Negative
148,Student_148,I had a terrible experience,-1,Negative
149,Student_149,I had a terrible experience,-1,Negative
151,Student_151,Nothing special about the sessions,0,Neutral
152,Student_152,It was fine overall,0,Neutral
156,Student_156,The teaching was poor and bad,-2,Negative
157,Student_157,Nothing special about the sessions,0,Neutral
158,Student_158,The class was normal,0,Neutral
160,Student_160,I had a terrible experience,-1,Negative
163,Student_163,Bad explanation and poor support,-1,Negative
164,Student_164,The course content was awful,-1,Negative
165,Student_165,I hate the scheduling system,-1,Negative
166,Student_166,Nothing special about the sessions,0,Neutral
168,Student_168,Nothing special about the sessions,0,Neutral
169,Student_169,The class was normal,0,Neutral
171,Student_171,It was an average experience,0,Neutral
172,Student_172,It was an average experience,0,Neutral
173,Student_173,Nothing special about the sessions,0,Neutral
174,Student_174,It was an average experience,0,Neutral
175,Student_175,It was an average experience,0,Neutral
178,Student_178,It was fine overall,0,Neutral
179,Student_179,Bad explanation and poor support,-1,Negative
181,Student_181,Nothing special about the sessions,0,Neutral
182,Student_182,It was fine overall,0,Neutral
183,Student_183,The course was okay,0,Neutral
184,Student_184,The teaching was poor and bad,-2,Negative
185,Student_185,It was an average experience,0,Neutral
186,Student_186,The course content was awful,-1,Negative
188,Student_188,I hate the scheduling system,-1,Negative
189,Student_189,It was an average experience,0,Neutral
190,Student_190,The teaching was poor and bad,-2,Negative
191,Student_191,The course was okay,0,Neutral
197,Student_197,The class was normal,0,Neutral
198,Student_198,Bad explanation and poor support,-1,Negative
199,Student_199,The teaching was poor and bad,-2,Negative
202,Student_202,I hate the scheduling system,-1,Negative
203,Student_203,I had a terrible experience,-1,Negative
204,Student_204,I had a terrible experience,-1,Negative
205,Student_205,It was fine overall,0,Neutral
206,Student_206,The teaching was poor and bad,-2,Negative
210,Student_210,The teaching was poor and bad,-2,Negative
211,Student_211,The course was okay,0,Neutral
216,Student_216,The class was normal,0,Neutral
217,Student_217,Bad explanation and poor support,-1,Negative
218,Student_218,The course content was awful,-1,Negative
219,Student_219,I had a terrible experience,-1,Negative
220,Student_220,The teaching was poor and bad,-2,Negative
221,Student_221,The course was okay,0,Neutral
222,Student_222,It was an average experience,0,Neutral
223,Student_223,The course content was awful,-1,Negative
225,Student_225,The class was normal,0,Neutral
226,Student_226,The class was normal,0,Neutral
227,Student_227,I had a terrible experience,-1,Negative
228,Student_228,The class was normal,0,Neutral
229,Student_229,I had a terrible experience,-1,Negative
231,Student_231,The course content was awful,-1,Negative
233,Student_233,It was fine overall,0,Neutral
