Student ID,Student Name,Feedback,Score,Sentiment
4,Student_4,The course was excellent and amazing,2,Positive
7,Student_7,The sessions were very good and helpful,2,Positive
13,Student_13,The course was excellent and amazing,2,Positive
21,Student_21,The course was excellent and amazing,2,Positive
23,Student_23,The sessions were very good and helpful,2,Positive
27,Student_27,The sessions were very good and helpful,2,Positive
28,Student_28,I love the teaching style it is great,2,Positive
29,Student_29,The course was excellent and amazing,2,Positive
31,Student_31,I love the teaching style it is great,2,Positive
33,Student_33,The sessions were very good and helpful,2,Positive
36,Student_36,I love the teaching style it is great,2,Positive
37,Student_37,The course was excellent and amazing,2,Positive
38,Student_38,The sessions were very good and helpful,2,Positive
45,Student_45,The course was excellent and amazing,2,Positive
49,Student_49,The sessions were very good and helpful,2,Positive
52,Student_52,Amazing practical exposure and great learning,2,Positive
56,Student_56,I love the teaching style it is great,2,Positive
58,Student_58,Amazing practical exposure and great learning,2,Positive
59,Student_59,Excellent support from faculty,2,Positive
61,Student_61,The course was excellent and amazing,2,Positive
63,Student_63,The sessions were very good and helpful,2,Positive
64,Student_64,The course was excellent and amazing,2,Positive
67,Student_67,I love the teaching style it is great,2,Positive
73,Student_73,Excellent support from faculty,2,Positive
77,Student_77,The sessions were very good and helpful,2,Positive
82,Student_82,Amazing practical exposure and great learning,2,Positive
84,Student_84,Amazing practical exposure and great learning,2,Positive
85,Student_85,Amazing practical exposure and great learning,2,Positive
87,Student_87,I love the teaching style it is great,2,Positive
94,Student_94,The sessions were very good and helpful,2,Positive
95,Student_95,The course was excellent and amazing,2,Positive
106,Student_106,I love the teaching style it is great,2,Positive
118,Student_118,Excellent support from faculty,2,Positive
126,Student_126,I love the teaching style it is great,2,Positive
127,Student_127,The sessions were very good and helpful,2,Positive
129,Student_129,The sessions were very good and helpful,2,Positive
132,Student_132,Excellent support from faculty,2,Positive
133,Student_133,The sessions were very good and helpful,2,Positive
135,Student_135,I love the teaching style it is great,2,Positive
136,Student_136,I love the teaching style it is great,2,Positive
140,Student_140,The course was excellent and amazing,2,Positive
142,Student_142,Amazing practical exposure and great learning,2,Positive
144,Student_144,The sessions were very good and helpful,2,Positive
147,Student_147,Excellent support from faculty,2,Positive
148,Student_148,Excellent support from faculty,2,Positive
166,Student_166,Amazing practical exposure and great learning,2,Positive
167,Student_167,Amazing practical exposure and great learning,2,Positive
168,Student_168,The sessions were very good and helpful,2,Positive
169,Student_169,I love the teaching style it is great,2,Positive
170,Student_170,The sessions were very good and helpful,2,Positive
172,Student_172,Amazing practical exposure and great learning,2,Positive
177,Student_177,The course was excellent and amazing,2,Positive
178,Student_178,Amazing practical exposure and great learning,2,Positive
182,Student_182,The course was excellent and amazing,2,Positive
183,Student_183,The course was excellent and amazing,2,Positive
184,Student_184,Amazing practical exposure and great learning,2,Positive
191,Student_191,The sessions were very good and helpful,2,Positive
193,Student_193,Excellent support from faculty,2,Positive
195,Student_195,I love the teaching style it is great,2,Positive
202,Student_202,Amazing practical exposure and great learning,2,Positive
203,Student_203,I love the teaching style it is great,2,Positive
205,Student_205,The course was excellent and amazing,2,Positive
206,Student_206,I love the teaching style it is great,2,Positive
209,Student_209,Excellent support from faculty,2,Positive
210,Student_210,The sessions were very good and helpful,2,Positive
215,Student_215,Amazing practical exposure and great learning,2,Positive
219,Student_219,Excellent support from faculty,2,Positive
220,Student_220,I love the teaching style it is great,2,Positive
221,Student_221,Excellent support from faculty,2,Positive
224,Student_224,The course was excellent and amazing,2,Positive
225,Student_225,I love the teaching style it is great,2,Positive
232,Student_232,Amazing practical exposure and great learning,2,Positive
242,Student_242,Amazing practical exposure and great learning,2,Positive
243,Student_243,The course was excellent and amazing,2,Positive
246,Student_246,Excellent support from faculty,2,Positive
248,Student_248,Amazing practical exposure and great learning,2,Positive
249,Student_249,The course was excellent and amazing,2,Positive
250,Student_250,The sessions were very good and helpful,2,Positive
251,Student_251,The course was excellent and amazing,2,Positive
252,Student_252,The sessions were very good and helpful,2,Positive
254,Student_254,I love the teaching style it is great,2,Positive
256,Student_256,Excellent support from faculty,2,Positive
257,Student_257,I love the teaching style it is great,2,Positive
259,Student_259,I love the teaching style it is great,2,Positive
264,Student_264,The course was excellent and amazing,2,Positive
270,Student_270,I love the teaching style it is great,2,Positive
275,Student_275,Excellent support from faculty,2,Positive
285,Student_285,Excellent support from faculty,2,Positive
289,Student_289,The sessions were very good and helpful,2,Positive
291,Student_291,Amazing practical exposure and great learning,2,Positive
292,Student_292,The course was excellent and amazing,2,Positive
293,Student_293,Amazing practical exposure and great learning,2,Positive
294,Student_294,The sessions were very good and helpful,2,Positive
302,Student_302,The sessions were very good and helpful,2,Positive
304,Student_304,The course was excellent and amazing,2,Positive
308,Student_308,The course was excellent and amazing,2,Positive
